FID	IID	Population
NA19308	NA19308	LWK
NA19309	NA19309	LWK
NA19310	NA19310	LWK
NA19312	NA19312	LWK
NA19314	NA19314	LWK
NA19315	NA19315	LWK
NA19316	NA19316	LWK
NA19317	NA19317	LWK
NA19318	NA19318	LWK
NA19319	NA19319	LWK
NA19320	NA19320	LWK
NA19321	NA19321	LWK
NA19323	NA19323	LWK
NA19324	NA19324	LWK
NA19327	NA19327	LWK
NA19328	NA19328	LWK
LWK001	NA19331	LWK
NA19332	NA19332	LWK
NA19334	NA19334	LWK
NA19338	NA19338	LWK
NA19346	NA19346	LWK
NA19347	NA19347	LWK
NA19350	NA19350	LWK
NA19351	NA19351	LWK
NA19355	NA19355	LWK
NA19360	NA19360	LWK
NA19372	NA19372	LWK
NA19374	NA19374	LWK
NA19375	NA19375	LWK
NA19376	NA19376	LWK
NA19377	NA19377	LWK
NA19378	NA19378	LWK
NA19379	NA19379	LWK
NA19380	NA19380	LWK
NA19383	NA19383	LWK
NA19384	NA19384	LWK
NA19385	NA19385	LWK
NA19390	NA19390	LWK
NA19391	NA19391	LWK
NA19393	NA19393	LWK
NA19394	NA19394	LWK
NA19395	NA19395	LWK
NA19397	NA19397	LWK
NA19399	NA19399	LWK
NA19401	NA19401	LWK
NA19403	NA19403	LWK
NA19404	NA19404	LWK
NA19428	NA19428	LWK
NA19429	NA19429	LWK
NA19430	NA19430	LWK
NA19431	NA19431	LWK
LWK003	NA19434	LWK
NA19435	NA19435	LWK
NA19436	NA19436	LWK
NA19437	NA19437	LWK
NA19438	NA19438	LWK
NA19439	NA19439	LWK
NA19440	NA19440	LWK
NA19443	NA19443	LWK
LWK004	NA19445	LWK
NA19446	NA19446	LWK
NA19448	NA19448	LWK
NA19449	NA19449	LWK
NA19451	NA19451	LWK
NA19452	NA19452	LWK
NA19454	NA19454	LWK
NA19455	NA19455	LWK
NA19456	NA19456	LWK
NA19457	NA19457	LWK
NA19461	NA19461	LWK
NA19462	NA19462	LWK
NA19463	NA19463	LWK
NA19466	NA19466	LWK
NA19467	NA19467	LWK
NA19468	NA19468	LWK
NA19471	NA19471	LWK
NA19472	NA19472	LWK
NA19473	NA19473	LWK
NA19474	NA19474	LWK
NA19475	NA19475	LWK
2357	NA19625	ASW
m001	NA19648	MXL
m001	NA19649	MXL
m005	NA19651	MXL
m005	NA19652	MXL
m006	NA19654	MXL
m006	NA19655	MXL
m007	NA19657	MXL
m007	NA19658	MXL
m008	NA19661	MXL
m012	NA19663	MXL
m012	NA19664	MXL
m002	NA19669	MXL
m002	NA19670	MXL
m004	NA19676	MXL
m009	NA19678	MXL
m009	NA19679	MXL
m010	NA19681	MXL
m010	NA19682	MXL
m011	NA19684	MXL
2367	NA19700	ASW
2367	NA19701	ASW
2368	NA19703	ASW
2368	NA19704	ASW
2369	NA19707	ASW
2371	NA19711	ASW
2371	NA19712	ASW
2436	NA19713	ASW
m014	NA19716	MXL
m014	NA19717	MXL
m015	NA19719	MXL
m015	NA19720	MXL
m016	NA19722	MXL
m016	NA19723	MXL
m017	NA19725	MXL
m017	NA19726	MXL
m018	NA19728	MXL
m018	NA19729	MXL
m019	NA19731	MXL
m019	NA19732	MXL
2393	NA19734	MXL
2393	NA19735	MXL
2395	NA19740	MXL
2395	NA19741	MXL
m023	NA19746	MXL
m023	NA19747	MXL
m024	NA19749	MXL
m024	NA19750	MXL
2401	NA19752	MXL
m026	NA19755	MXL
m026	NA19756	MXL
m027	NA19758	MXL
m027	NA19759	MXL
m028	NA19761	MXL
m028	NA19762	MXL
2405	NA19764	MXL
m031	NA19770	MXL
m031	NA19771	MXL
m033	NA19773	MXL
m033	NA19774	MXL
m034	NA19776	MXL
m034	NA19777	MXL
m035	NA19779	MXL
m035	NA19780	MXL
m036	NA19782	MXL
m036	NA19783	MXL
m032	NA19785	MXL
m032	NA19786	MXL
m037	NA19788	MXL
m037	NA19789	MXL
2414	NA19792	MXL
m039	NA19794	MXL
m039	NA19795	MXL
2418	NA19818	ASW
2418	NA19819	ASW
2424	NA19834	ASW
2424	NA19835	ASW
2425	NA19900	ASW
2425	NA19901	ASW
2426	NA19904	ASW
2427	NA19908	ASW
2427	NA19909	ASW
2426a	NA19913	ASW
2430	NA19914	ASW
2431	NA19916	ASW
2431	NA19917	ASW
2433	NA19920	ASW
2433	NA19921	ASW
2434	NA19922	ASW
2434	NA19923	ASW
2436	NA19982	ASW
2437a	NA19984	ASW
2446	NA20126	ASW
2446	NA20127	ASW
2357a	NA20274	ASW
2466	NA20276	ASW
2467	NA20278	ASW
2469a	NA20281	ASW
2469	NA20282	ASW
2470	NA20287	ASW
2471	NA20289	ASW
2472	NA20291	ASW
2474	NA20294	ASW
2475	NA20296	ASW
2476a	NA20298	ASW
2476	NA20299	ASW
2479	NA20314	ASW
2480	NA20317	ASW
2480a	NA20318	ASW
2481a	NA20320	ASW
2481	NA20321	ASW
2483	NA20332	ASW
2484	NA20334	ASW
2486	NA20339	ASW
2487	NA20340	ASW
2488	NA20342	ASW
2490	NA20346	ASW
2491	NA20348	ASW
2493	NA20351	ASW
2484a	NA20355	ASW
2494	NA20356	ASW
2494	NA20357	ASW
2495	NA20359	ASW
2495a	NA20362	ASW
2505	NA20412	ASW
NA20502	NA20502	TSI
NA20503	NA20503	TSI
NA20504	NA20504	TSI
NA20505	NA20505	TSI
NA20506	NA20506	TSI
NA20507	NA20507	TSI
NA20508	NA20508	TSI
NA20509	NA20509	TSI
NA20510	NA20510	TSI
NA20511	NA20511	TSI
NA20512	NA20512	TSI
NA20513	NA20513	TSI
NA20514	NA20514	TSI
NA20515	NA20515	TSI
NA20516	NA20516	TSI
NA20517	NA20517	TSI
NA20518	NA20518	TSI
NA20519	NA20519	TSI
NA20520	NA20520	TSI
NA20521	NA20521	TSI
NA20522	NA20522	TSI
NA20524	NA20524	TSI
NA20525	NA20525	TSI
NA20527	NA20527	TSI
NA20528	NA20528	TSI
NA20529	NA20529	TSI
NA20530	NA20530	TSI
NA20531	NA20531	TSI
NA20532	NA20532	TSI
NA20533	NA20533	TSI
NA20534	NA20534	TSI
NA20535	NA20535	TSI
NA20536	NA20536	TSI
NA20538	NA20538	TSI
NA20539	NA20539	TSI
NA20540	NA20540	TSI
NA20541	NA20541	TSI
NA20542	NA20542	TSI
NA20543	NA20543	TSI
NA20544	NA20544	TSI
NA20581	NA20581	TSI
NA20582	NA20582	TSI
NA20585	NA20585	TSI
NA20586	NA20586	TSI
NA20587	NA20587	TSI
NA20588	NA20588	TSI
NA20589	NA20589	TSI
NA20752	NA20752	TSI
NA20753	NA20753	TSI
NA20754	NA20754	TSI
NA20755	NA20755	TSI
NA20756	NA20756	TSI
NA20757	NA20757	TSI
NA20758	NA20758	TSI
NA20759	NA20759	TSI
NA20760	NA20760	TSI
NA20761	NA20761	TSI
NA20762	NA20762	TSI
NA20763	NA20763	TSI
NA20764	NA20764	TSI
NA20765	NA20765	TSI
NA20766	NA20766	TSI
NA20767	NA20767	TSI
NA20768	NA20768	TSI
NA20769	NA20769	TSI
NA20770	NA20770	TSI
NA20771	NA20771	TSI
NA20772	NA20772	TSI
NA20773	NA20773	TSI
NA20774	NA20774	TSI
NA20775	NA20775	TSI
NA20778	NA20778	TSI
NA20783	NA20783	TSI
NA20785	NA20785	TSI
NA20786	NA20786	TSI
NA20787	NA20787	TSI
NA20790	NA20790	TSI
NA20792	NA20792	TSI
NA20795	NA20795	TSI
NA20796	NA20796	TSI
NA20797	NA20797	TSI
NA20798	NA20798	TSI
NA20799	NA20799	TSI
NA20800	NA20800	TSI
NA20801	NA20801	TSI
NA20802	NA20802	TSI
NA20803	NA20803	TSI
NA20804	NA20804	TSI
NA20805	NA20805	TSI
NA20806	NA20806	TSI
NA20807	NA20807	TSI
NA20808	NA20808	TSI
NA20809	NA20809	TSI
NA20810	NA20810	TSI
NA20811	NA20811	TSI
NA20812	NA20812	TSI
NA20813	NA20813	TSI
NA20814	NA20814	TSI
NA20815	NA20815	TSI
NA20818	NA20818	TSI
NA20819	NA20819	TSI
NA20821	NA20821	TSI
NA20822	NA20822	TSI
NA20826	NA20826	TSI
NA20827	NA20827	TSI
NA20828	NA20828	TSI
NA20832	NA20832	TSI
NA20845	NA20845	GIH
NA20846	NA20846	GIH
NA20847	NA20847	GIH
NA20849	NA20849	GIH
NA20850	NA20850	GIH
NA20851	NA20851	GIH
NA20852	NA20852	GIH
NA20853	NA20853	GIH
NA20854	NA20854	GIH
NA20856	NA20856	GIH
NA20858	NA20858	GIH
NA20859	NA20859	GIH
NA20861	NA20861	GIH
NA20862	NA20862	GIH
NA20863	NA20863	GIH
NA20864	NA20864	GIH
NA20866	NA20866	GIH
NA20867	NA20867	GIH
GIH001	NA20868	GIH
NA20869	NA20869	GIH
NA20870	NA20870	GIH
NA20872	NA20872	GIH
NA20874	NA20874	GIH
NA20875	NA20875	GIH
NA20876	NA20876	GIH
NA20877	NA20877	GIH
NA20878	NA20878	GIH
NA20881	NA20881	GIH
NA20882	NA20882	GIH
NA20884	NA20884	GIH
NA20885	NA20885	GIH
GIH002	NA20886	GIH
NA20887	NA20887	GIH
NA20888	NA20888	GIH
NA20889	NA20889	GIH
NA20890	NA20890	GIH
NA20891	NA20891	GIH
NA20892	NA20892	GIH
NA20894	NA20894	GIH
NA20895	NA20895	GIH
NA20896	NA20896	GIH
NA20897	NA20897	GIH
NA20899	NA20899	GIH
NA20900	NA20900	GIH
NA20901	NA20901	GIH
NA20902	NA20902	GIH
NA20903	NA20903	GIH
NA20904	NA20904	GIH
NA20905	NA20905	GIH
NA20906	NA20906	GIH
NA20908	NA20908	GIH
GIH003	NA20910	GIH
NA20911	NA20911	GIH
NA21086	NA21086	GIH
NA21087	NA21087	GIH
NA21088	NA21088	GIH
NA21089	NA21089	GIH
NA21090	NA21090	GIH
NA21091	NA21091	GIH
NA21092	NA21092	GIH
NA21093	NA21093	GIH
NA21094	NA21094	GIH
NA21095	NA21095	GIH
NA21097	NA21097	GIH
NA21098	NA21098	GIH
NA21099	NA21099	GIH
NA21100	NA21100	GIH
NA21101	NA21101	GIH
NA21102	NA21102	GIH
NA21103	NA21103	GIH
NA21104	NA21104	GIH
NA21105	NA21105	GIH
NA21106	NA21106	GIH
NA21107	NA21107	GIH
NA21108	NA21108	GIH
NA21109	NA21109	GIH
NA21110	NA21110	GIH
NA21111	NA21111	GIH
NA21112	NA21112	GIH
NA21113	NA21113	GIH
NA21114	NA21114	GIH
NA21115	NA21115	GIH
NA21116	NA21116	GIH
NA21117	NA21117	GIH
NA21118	NA21118	GIH
NA21119	NA21119	GIH
NA21120	NA21120	GIH
NA21122	NA21122	GIH
NA21123	NA21123	GIH
NA21124	NA21124	GIH
NA21125	NA21125	GIH
NA21126	NA21126	GIH
NA21127	NA21127	GIH
NA21128	NA21128	GIH
NA21129	NA21129	GIH
NA21130	NA21130	GIH
NA21133	NA21133	GIH
NA21135	NA21135	GIH
NA21137	NA21137	GIH
NA21141	NA21141	GIH
NA21142	NA21142	GIH
NA21143	NA21143	GIH
NA21144	NA21144	GIH
