FID	IID	Population
CLM33	HG01362	CLM
CLM33	HG01363	CLM
CLM34	HG01365	CLM
CLM34	HG01366	CLM
CLM35	HG01369	CLM
CLM36	HG01372	CLM
CLM37	HG01374	CLM
CLM37	HG01375	CLM
CLM38	HG01377	CLM
CLM38	HG01378	CLM
CLM40	HG01383	CLM
CLM40	HG01384	CLM
CLM42	HG01389	CLM
CLM42	HG01390	CLM
PR70	HG01392	PUR
PR70	HG01393	PUR
PR71	HG01395	PUR
PR71	HG01396	PUR
PR72	HG01398	PUR
PR74	HG01402	PUR
PR74	HG01403	PUR
PR75	HG01405	PUR
PR76	HG01412	PUR
PR78	HG01413	PUR
PR78	HG01414	PUR
CLM43	HG01431	CLM
CLM43	HG01432	CLM
CLM44	HG01435	CLM
CLM45	HG01437	CLM
CLM45	HG01438	CLM
CLM46a	HG01440	CLM
CLM46	HG01441	CLM
CLM47	HG01443	CLM
CLM47	HG01444	CLM
CLM48	HG01447	CLM
CLM51	HG01455	CLM
CLM51	HG01456	CLM
CLM52	HG01459	CLM
CLM53	HG01461	CLM
CLM53	HG01462	CLM
CLM54	HG01464	CLM
CLM54	HG01465	CLM
CLM55	HG01468	CLM
CLM57	HG01474	CLM
CLM59	HG01479	CLM
CLM61	HG01485	CLM
CLM61	HG01486	CLM
CLM62	HG01488	CLM
CLM62	HG01489	CLM
CLM63	HG01491	CLM
CLM63	HG01492	CLM
CLM64	HG01494	CLM
CLM64	HG01495	CLM
CLM65	HG01497	CLM
CLM65	HG01498	CLM
IBS001	HG01500	IBS
IBS001	HG01501	IBS
IBS002	HG01503	IBS
IBS002	HG01504	IBS
IBS003	HG01506	IBS
IBS003	HG01507	IBS
IBS004	HG01509	IBS
IBS004	HG01510	IBS
IBS005	HG01512	IBS
IBS005	HG01513	IBS
IBS006	HG01515	IBS
IBS006	HG01516	IBS
IBS007	HG01518	IBS
IBS007	HG01519	IBS
IBS008	HG01521	IBS
IBS008	HG01522	IBS
IBS009	HG01524	IBS
IBS009	HG01525	IBS
IBS010	HG01527	IBS
IBS010	HG01528	IBS
IBS011	HG01530	IBS
IBS011	HG01531	IBS
IBS013	HG01536	IBS
IBS013	HG01537	IBS
CLM66	HG01550	CLM
CLM66	HG01551	CLM
CLM68	HG01556	CLM
PEL001	HG01565	PEL
PEL001	HG01566	PEL
PEL003	HG01571	PEL
PEL003	HG01572	PEL
PEL005	HG01577	PEL
PEL005	HG01578	PEL
PK02	HG01583	PJL
PK03	HG01586	PJL
PK04	HG01589	PJL
PK05	HG01593	PJL
VN001	HG01595	KHV
VN002	HG01596	KHV
VN003	HG01597	KHV
VN004	HG01598	KHV
VN005	HG01599	KHV
VN006	HG01600	KHV
IBS024	HG01602	IBS
IBS024	HG01603	IBS
IBS023	HG01605	IBS
IBS023	HG01606	IBS
IBS022	HG01607	IBS
IBS022	HG01608	IBS
IBS021	HG01610	IBS
IBS021	HG01612	IBS
IBS020	HG01613	IBS
IBS020	HG01615	IBS
IBS019	HG01617	IBS
IBS019	HG01618	IBS
IBS018	HG01619	IBS
IBS018	HG01620	IBS
IBS017	HG01623	IBS
IBS017	HG01624	IBS
IBS016	HG01625	IBS
IBS016	HG01626	IBS
IBS015	HG01628	IBS
IBS015	HG01630	IBS
IBS014	HG01631	IBS
IBS014	HG01632	IBS
IBS025	HG01668	IBS
IBS025	HG01669	IBS
IBS026	HG01670	IBS
IBS026	HG01672	IBS
IBS027	HG01673	IBS
IBS027	HG01675	IBS
IBS028	HG01676	IBS
IBS028	HG01678	IBS
IBS029	HG01679	IBS
IBS029	HG01680	IBS
IBS030	HG01682	IBS
IBS030	HG01684	IBS
IBS031	HG01685	IBS
IBS031	HG01686	IBS
IBS034	HG01694	IBS
IBS034	HG01695	IBS
IBS035	HG01697	IBS
IBS035	HG01699	IBS
IBS036	HG01700	IBS
IBS036	HG01702	IBS
IBS037	HG01704	IBS
IBS037	HG01705	IBS
IBS038	HG01707	IBS
IBS038	HG01708	IBS
IBS039	HG01709	IBS
IBS039	HG01710	IBS
IBS041	HG01746	IBS
IBS041	HG01747	IBS
IBS044	HG01756	IBS
IBS044	HG01757	IBS
IBS046	HG01761	IBS
IBS046	HG01762	IBS
IBS047	HG01765	IBS
IBS047	HG01766	IBS
IBS048	HG01767	IBS
IBS048	HG01768	IBS
IBS049	HG01770	IBS
IBS049	HG01771	IBS
IBS050	HG01773	IBS
IBS050	HG01775	IBS
IBS051	HG01776	IBS
IBS051	HG01777	IBS
IBS052	HG01779	IBS
IBS052	HG01781	IBS
IBS053	HG01783	IBS
IBS053	HG01784	IBS
IBS054	HG01785	IBS
IBS054	HG01786	IBS
HG01789	HG01789	GBR
HG01790	HG01790	GBR
HG01791	HG01791	GBR
HG01794	HG01794	CDX
HG01795	HG01795	CDX
HG01796	HG01796	CDX
HG01797	HG01797	CDX
HG01798	HG01798	CDX
HG01799	HG01799	CDX
HG01800	HG01800	CDX
HG01801	HG01801	CDX
HG01802	HG01802	CDX
HG01804	HG01804	CDX
HG01805	HG01805	CDX
HG01806	HG01806	CDX
HG01807	HG01807	CDX
HG01808	HG01808	CDX
HG01809	HG01809	CDX
HG01810	HG01810	CDX
HG01811	HG01811	CDX
HG01812	HG01812	CDX
HG01813	HG01813	CDX
HG01815	HG01815	CDX
HG01816	HG01816	CDX
HG01817	HG01817	CDX
VN007	HG01840	KHV
VN008	HG01841	KHV
VN009	HG01842	KHV
VN010	HG01843	KHV
VN011	HG01844	KHV
VN012	HG01845	KHV
VN013	HG01846	KHV
VN014	HG01847	KHV
VN015	HG01848	KHV
VN016	HG01849	KHV
VN017	HG01850	KHV
VN018	HG01851	KHV
VN019	HG01852	KHV
VN020	HG01853	KHV
VN022	HG01855	KHV
VN024	HG01857	KHV
VN025	HG01858	KHV
VN026	HG01859	KHV
VN027	HG01860	KHV
VN028	HG01861	KHV
VN029	HG01862	KHV
VN030	HG01863	KHV
VN031	HG01864	KHV
VN032	HG01865	KHV
VN033	HG01866	KHV
VN034	HG01867	KHV
VN035	HG01868	KHV
VN036	HG01869	KHV
VN037	HG01870	KHV
VN038	HG01871	KHV
VN039	HG01872	KHV
VN040	HG01873	KHV
VN041	HG01874	KHV
VN045	HG01878	KHV
BB01	HG01879	ACB
BB01	HG01880	ACB
BB02	HG01882	ACB
BB02	HG01883	ACB
BB03	HG01885	ACB
BB04	HG01886	ACB
BB05	HG01889	ACB
BB05	HG01890	ACB
PEL007	HG01892	PEL
PEL007	HG01893	PEL
BB06	HG01894	ACB
BB07	HG01896	ACB
BB06	HG01912	ACB
BB09	HG01914	ACB
BB09	HG01915	ACB
PEL006	HG01917	PEL
PEL006	HG01918	PEL
PEL009	HG01920	PEL
PEL009	HG01921	PEL
PEL010	HG01923	PEL
PEL010	HG01924	PEL
PEL011	HG01926	PEL
PEL011	HG01927	PEL
PEL013	HG01932	PEL
PEL013	HG01933	PEL
PEL014	HG01935	PEL
PEL014	HG01936	PEL
PEL015	HG01938	PEL
PEL015	HG01939	PEL
PEL016	HG01941	PEL
PEL016	HG01942	PEL
PEL017	HG01944	PEL
PEL017	HG01945	PEL
PEL018	HG01947	PEL
PEL018	HG01948	PEL
PEL019	HG01950	PEL
PEL019	HG01951	PEL
PEL020	HG01953	PEL
PEL020	HG01954	PEL
